from,to,weight
Platzeck,SPD,1
Platzeck,Regionalvertreter,1
Pofalla,CDU,3
Pofalla,Industrie,3
Praetorius,Wissenschaft,3
Praetorius,Energieunternehmen,1
Tillich,CDU,1
Tillich,Regionalvertreter,1
Hasselfeldt,CSU,1
Hasselfeldt,Verband,1
Kampeter,CDU,1
Kampeter,Verband,3
Kapferer,Politik,1
Kapferer,Umweltschutz,3
Kempf,Verband,3
Nemat,Verband,3
Reiche,CDU,1
Reiche,Industrie,3
Roestel,Energieunternehmen,3
Schweitzer,Gewerkschaft,3
Schweitzer,Industrie,3
Grothus,Regionalvertreter,3
Grothus,Gewerkschaft,1
Wodtke,CDU,3
Wodtke,Umweltschutz,1
Herntier,Regionalvertreter,2
Kreuzberg,CDU,1
Kreuzberg,Regionalvertreter,2
Priggen,Gruene,1
Priggen,Umweltschutz,3
Vassiliadis,SPD,1
Vassiliadis,Gewerkschaft,3
Scheidt,Gewerkschaft,3
Scheidt,SPD,1
Koerzell,SPD,1
Koerzell,Gewerkschaft,3
Kaiser,Umweltschutz,3
Weiger,Umweltschutz,3
Niebert,Umweltschutz,3
Niebert,Wissenschaft,2
Allmendinger,Wissenschaft,2
Matthes,Wissenschaft,2
Schnellnhuber,Wissenschaft,1
Schnellnhuber,Umweltschutz,2
Niebuhr,Wissenschaft,2
Wehrsporn,Wissenschaft,3
Laemmel,CDU,2
Laemmel,Wissenschaft,1
Lenz,CSU,2
Lenz,Wissenschaft,1
Miersch,SPD,2
Miersch,Regionalvertreter,1
